method,split,start,last_sample,end_exclusive_estimated,n_samples,estimated_minutes,dominant_increase_metric,max_score,rtt_ms,jitter_ms,loss_rate,dns_latency_ms,http_latency_ms
baseline,train,2026-08-27 20:12:00+07:00,2026-08-27 22:10:30+07:00,2026-08-27 22:11:00+07:00,238,119.0,http_latency_ms,0.6625825051259437,139.31723781512608,16.61693445378151,0.10115546218487394,147.78474201680672,1467.337744537815
baseline,train,2026-08-28 06:15:30+07:00,2026-08-28 06:22:30+07:00,2026-08-28 06:23:00+07:00,15,7.5,jitter_ms,0.7654804565989143,277.5733333333333,458.39553333333333,0.0,50.50087333333334,586.0965600000001
baseline,train,2026-08-28 06:25:30+07:00,2026-08-28 06:30:30+07:00,2026-08-28 06:31:00+07:00,11,5.5,jitter_ms,0.7535549038069429,181.27954545454546,358.38182727272726,0.0,68.14464545454545,784.3951727272728
baseline,train,2026-08-28 06:42:00+07:00,2026-08-28 06:47:00+07:00,2026-08-28 06:47:30+07:00,11,5.5,http_latency_ms,0.6214211024330161,53.34057272727272,4.159381818181817,0.0,50.25594545454545,1590.1535000000001
baseline,train,2026-08-28 11:49:30+07:00,2026-08-28 12:15:30+07:00,2026-08-28 12:16:00+07:00,53,26.5,http_latency_ms,0.562997218420622,106.06692830188679,10.335416981132077,0.08867924528301888,109.07309056603772,1122.7290924528304
baseline,train,2026-08-28 20:11:30+07:00,2026-08-28 22:07:00+07:00,2026-08-28 22:07:30+07:00,232,116.0,http_latency_ms,0.6464669789917642,138.56959353448275,16.768530172413794,0.0939655172413793,148.71924827586207,1471.9980534482756
baseline,train,2026-08-29 07:08:00+07:00,2026-08-29 07:15:00+07:00,2026-08-29 07:15:30+07:00,15,7.5,http_latency_ms,0.6804266130342227,54.948106666666646,6.1367,0.0,396.84610055555555,2263.995726666667
baseline,train,2026-08-29 15:08:30+07:00,2026-08-29 15:15:30+07:00,2026-08-29 15:16:00+07:00,15,7.5,http_latency_ms,0.7308019801719073,61.925,22.51102666666667,0.03333333333333333,76.57322,6203.9494466666665
baseline,train,2026-08-29 15:25:00+07:00,2026-08-29 15:34:00+07:00,2026-08-29 15:34:30+07:00,19,9.5,jitter_ms,0.757644721765941,167.36095789473688,151.20872631578948,0.0,74.56185263157897,684.2186421052633
baseline,train,2026-08-29 20:11:30+07:00,2026-08-29 22:06:30+07:00,2026-08-29 22:07:00+07:00,231,115.5,http_latency_ms,0.6388099402494679,137.41323333333332,17.574807359307364,0.09469696969696968,145.8036411255411,1469.7184173160176
baseline,train,2026-08-30 20:11:00+07:00,2026-08-30 22:04:30+07:00,2026-08-30 22:05:00+07:00,228,114.0,http_latency_ms,0.6348373575283415,137.0536859649123,17.551793859649123,0.09835526315789474,144.92469122807017,1459.9757210526316
baseline,train,2026-08-31 04:53:00+07:00,2026-08-31 05:00:00+07:00,2026-08-31 05:00:30+07:00,15,7.5,jitter_ms,0.7199147576787953,101.05333333333333,75.45999333333333,0.0,58.395379999999996,1191.48416
baseline,train,2026-08-31 05:05:00+07:00,2026-08-31 05:12:00+07:00,2026-08-31 05:12:30+07:00,15,7.5,jitter_ms,0.7268343541112213,137.23999999999998,187.74891333333332,0.0,50.86983333333333,501.85714
baseline,train,2026-08-31 05:21:00+07:00,2026-08-31 05:22:00+07:00,2026-08-31 05:22:30+07:00,3,1.5,http_latency_ms,0.5454480256750184,40.38333333333333,1.0666,0.0,53.20423333333333,1015.5440333333332
baseline,train,2026-08-31 05:23:00+07:00,2026-08-31 05:39:00+07:00,2026-08-31 05:39:30+07:00,33,16.5,jitter_ms,0.7591841196920797,124.24166666666665,169.91104545454547,0.0,50.551403030303035,756.0459757575758
baseline,train,2026-08-31 05:52:00+07:00,2026-08-31 06:01:00+07:00,2026-08-31 06:01:30+07:00,19,9.5,jitter_ms,0.7520269202439799,133.93552631578945,215.06495263157893,0.0,51.65421578947369,734.1071368421051
baseline,train,2026-08-31 06:24:00+07:00,2026-08-31 07:00:30+07:00,2026-08-31 07:01:00+07:00,74,37.0,jitter_ms,0.7717207179892026,178.64729729729729,274.2964108108108,0.0,52.088186486486485,846.5897743243243
baseline,train,2026-08-31 07:05:00+07:00,2026-08-31 07:13:30+07:00,2026-08-31 07:14:00+07:00,18,9.0,jitter_ms,0.7633044894637006,204.61111111111114,277.7462666666667,0.0,48.856300000000005,646.3456222222223
baseline,train,2026-08-31 07:17:00+07:00,2026-08-31 07:20:30+07:00,2026-08-31 07:21:00+07:00,8,4.0,http_latency_ms,0.5487714554897268,45.08125,0.6582625000000001,0.0,51.9122,1292.4396625
baseline,train,2026-08-31 07:21:30+07:00,2026-08-31 07:27:00+07:00,2026-08-31 07:27:30+07:00,12,6.0,jitter_ms,0.6895792357605429,94.85833333333333,64.53335833333333,0.0,50.964400000000005,1039.0195833333335
baseline,train,2026-08-31 07:34:30+07:00,2026-08-31 07:39:00+07:00,2026-08-31 07:39:30+07:00,10,5.0,jitter_ms,0.6561463526151661,102.24,64.91328999999999,0.0,51.51494,737.66763
baseline,train,2026-08-31 07:40:30+07:00,2026-08-31 08:57:00+07:00,2026-08-31 08:57:30+07:00,154,77.0,jitter_ms,0.8251826580304059,223.62165187590185,327.99006911976915,0.022727272727272728,53.01464372294372,1991.2085509018752
baseline,train,2026-08-31 08:58:00+07:00,2026-08-31 09:22:00+07:00,2026-08-31 09:22:30+07:00,49,24.5,jitter_ms,0.8257411542384044,266.4397530612245,443.04105306122443,0.06122448979591836,168.25317551020407,8468.623091836735
baseline,train,2026-08-31 11:46:30+07:00,2026-08-31 12:12:00+07:00,2026-08-31 12:12:30+07:00,52,26.0,http_latency_ms,0.5788209608613587,105.01050576923079,10.019634615384614,0.0875,110.30610961538461,1125.837182692307
baseline,train,2026-08-31 20:09:00+07:00,2026-08-31 22:05:00+07:00,2026-08-31 22:05:30+07:00,233,116.5,http_latency_ms,0.6730829423833905,141.5338356223176,17.990792274678114,0.1159871244635193,149.33222103004292,1482.2143755364802
baseline,train,2026-09-01 11:48:00+07:00,2026-09-01 12:12:30+07:00,2026-09-01 12:13:00+07:00,50,25.0,http_latency_ms,0.5682502608160502,106.068178,13.130302000000002,0.0655,111.37168000000001,1133.252888
